# Octopus per-turn geometric emittance, aspect=1.0 xi=0.005
turn	ex	ey
2896	2.0436246271898166e-8	2.0435817327130947e-8
2904	2.0435932497372856e-8	2.0435296614523554e-8
2912	2.043528154332325e-8	2.043752491047502e-8
2920	2.0435108531309402e-8	2.0437185109302835e-8
2928	2.0435632308275676e-8	2.0436129631397728e-8
2936	2.0436574883387475e-8	2.0434641689080978e-8
2944	2.0437113095443113e-8	2.0434920775257485e-8
2952	2.043637475879447e-8	2.043631780138368e-8
2960	2.0435064096665138e-8	2.0436653733636238e-8
2968	2.043458625371974e-8	2.0437155122423107e-8
2976	2.0435447200000494e-8	2.0436685019340626e-8
2984	2.0436933186991518e-8	2.04350186169618e-8
2992	2.0437549105544662e-8	2.043409820012245e-8
3000	2.0436606503687222e-8	2.0435224121966328e-8
3008	2.043498515193225e-8	2.043738288300655e-8
3016	2.0433954435826395e-8	2.0437736272557672e-8
3024	2.0434526777993143e-8	2.0436233800768157e-8
3032	2.043642220678716e-8	2.0435437773469692e-8
3040	2.0437939610879435e-8	2.0434230330170362e-8
3048	2.0437471020570348e-8	2.0435172711329785e-8
3056	2.0435820426380948e-8	2.0436308410690804e-8
3064	2.0434649391658487e-8	2.0438590658097557e-8
3072	2.0434924187186277e-8	2.0437111676145084e-8
3080	2.0436599661549415e-8	2.0435355698600814e-8
3088	2.0438353778861268e-8	2.043447578648085e-8
3096	2.0438214319541217e-8	2.043488153819214e-8
3104	2.0436329438682527e-8	2.043652952620384e-8
3112	2.0434526230669506e-8	2.0437798669578472e-8
3120	2.0434187748670667e-8	2.0438030181724156e-8
3128	2.0435508836430236e-8	2.0435960960352677e-8
3136	2.0437365719007974e-8	2.043519281257186e-8
3144	2.0437782809035467e-8	2.043430747609485e-8
3152	2.0436142383652874e-8	2.0436075463637664e-8
3160	2.04343614921344e-8	2.0437715748713948e-8
3168	2.0433991101584046e-8	2.0438028333562057e-8
3176	2.0435040152063775e-8	2.043690429619881e-8
3184	2.043680189078309e-8	2.0435872622721243e-8
3192	2.043759698813879e-8	2.0434240692072075e-8
3200	2.0436489120180263e-8	2.0434810046611634e-8
3208	2.0434631977572274e-8	2.0437078309745316e-8
3216	2.0434013412374775e-8	2.043838233506107e-8
3224	2.0434972333540493e-8	2.0437133322691368e-8
3232	2.0436596144580848e-8	2.043596692650642e-8
3240	2.043752552838095e-8	2.0435118034761612e-8
3248	2.0436691945766033e-8	2.043356608697385e-8
3256	2.0434757848242592e-8	2.0436204150550343e-8
3264	2.0433759284341038e-8	2.0437354628924415e-8
3272	2.0434426042061906e-8	2.043769686888672e-8
3280	2.0435931185636975e-8	2.043528991669746e-8
3288	2.0436956991218137e-8	2.0434756428552173e-8
3296	2.0436528113895145e-8	2.0434699589403893e-8
3304	2.043482589109431e-8	2.0434715217410182e-8
3312	2.0433448816721958e-8	2.043724028219431e-8
3320	2.0433696727957213e-8	2.043675317793478e-8
3328	2.043527576972436e-8	2.0435671464907416e-8
3336	2.0436535393400416e-8	2.0433662363086044e-8
3344	2.0436497353995763e-8	2.043465375935306e-8
3352	2.0435395631314068e-8	2.0436122885075226e-8
3360	2.043410269268212e-8	2.0436276335792802e-8
3368	2.0433950243813653e-8	2.0437358237410862e-8
