turn	ele_ex	ele_ey	pro_ex	pro_ey
5264	2.26063100e-08	1.67980400e-09	1.13786600e-08	1.01152000e-09
5280	2.26896400e-08	1.67889600e-09	1.13798600e-08	1.01189600e-09
5296	2.27053100e-08	1.67595200e-09	1.13832500e-08	1.01195500e-09
5312	2.27245900e-08	1.67389800e-09	1.13823900e-08	1.01235900e-09
5328	2.26759300e-08	1.67513800e-09	1.13813300e-08	1.01126600e-09
5344	2.26469100e-08	1.67574500e-09	1.13834500e-08	1.01218600e-09
5360	2.26201100e-08	1.67204500e-09	1.13843900e-08	1.01149800e-09
5376	2.26095700e-08	1.67147700e-09	1.13777300e-08	1.01205500e-09
5392	2.26510500e-08	1.67402000e-09	1.13783900e-08	1.01211200e-09
5408	2.26317000e-08	1.67316900e-09	1.13832000e-08	1.01169700e-09
5424	2.26551500e-08	1.67126700e-09	1.13843300e-08	1.01195800e-09
5440	2.27160600e-08	1.67010300e-09	1.13837300e-08	1.01186300e-09
5456	2.27722400e-08	1.66924700e-09	1.13832300e-08	1.01209500e-09
5472	2.27500300e-08	1.66848000e-09	1.13817100e-08	1.01189500e-09
5488	2.26919900e-08	1.66891700e-09	1.13785200e-08	1.01188700e-09
5504	2.26595800e-08	1.66882400e-09	1.13806300e-08	1.01213500e-09
5520	2.26819800e-08	1.66626600e-09	1.13826500e-08	1.01204900e-09
5536	2.26758200e-08	1.66666900e-09	1.13825500e-08	1.01222700e-09
5552	2.26883900e-08	1.66949100e-09	1.13836300e-08	1.01219100e-09
5568	2.26995500e-08	1.66777800e-09	1.13827600e-08	1.01224900e-09
5584	2.27030800e-08	1.66648600e-09	1.13840400e-08	1.01204100e-09
5600	2.26410800e-08	1.66326400e-09	1.13837000e-08	1.01205200e-09
5616	2.26492400e-08	1.66655200e-09	1.13839200e-08	1.01259600e-09
5632	2.26054000e-08	1.66507000e-09	1.13860200e-08	1.01173500e-09
5648	2.25887100e-08	1.66651600e-09	1.13848500e-08	1.01238000e-09
5664	2.25659700e-08	1.66933400e-09	1.13845800e-08	1.01230200e-09
5680	2.25766600e-08	1.66928600e-09	1.13850900e-08	1.01201300e-09
